Type,Country,Quantity (kg),Value (US$),Year
Vinhos de mesa,Africa do Sul,,,1970
Vinhos de mesa,Alemanha,52297.0,30498.0,1970
Vinhos de mesa,Argélia,,,1970
Vinhos de mesa,Arábia Saudita,,,1970
Vinhos de mesa,Argentina,19525.0,12260.0,1970
Vinhos de mesa,Armênia,,,1970
Vinhos de mesa,Austrália,,,1970
Vinhos de mesa,Áustria,1328.0,707.0,1970
Vinhos de mesa,Bermudas,,,1970
Vinhos de mesa,Bélgica,,,1970
Vinhos de mesa,Bolívia,,,1970
Vinhos de mesa,Bósnia-Herzegovina,,,1970
Vinhos de mesa,Brasil,,,1970
Vinhos de mesa,Bulgária,,,1970
Vinhos de mesa,Canada,,,1970
Vinhos de mesa,Chile,162370.0,101819.0,1970
Vinhos de mesa,China,,,1970
Vinhos de mesa,"Coreia do Sul, República",,,1970
Vinhos de mesa,Croácia,,,1970
Vinhos de mesa,Cuba,,,1970
Vinhos de mesa,Emirados Árabes Unidos,,,1970
Vinhos de mesa,Eslovênia,,,1970
Vinhos de mesa,Eslováquia,,,1970
Vinhos de mesa,Espanha,261126.0,90159.0,1970
Vinhos de mesa,Estados Unidos,,,1970
Vinhos de mesa,França,91544.0,78135.0,1970
Vinhos de mesa,Geórgia,,,1970
Vinhos de mesa,"Geórgia do Sul e Sandwich do Sul, Ilhas",,,1970
Vinhos de mesa,Grécia,,,1970
Vinhos de mesa,Hong Kong,,,1970
Vinhos de mesa,Hungria,,,1970
Vinhos de mesa,Indonésia,,,1970
Vinhos de mesa,Irlanda,,,1970
Vinhos de mesa,Israel,,,1970
Vinhos de mesa,Itália,58802.0,32376.0,1970
Vinhos de mesa,Japão,,,1970
Vinhos de mesa,Iugoslávia,702.0,326.0,1970
Vinhos de mesa,Líbano,,,1970
Vinhos de mesa,Luxemburgo,,,1970
Vinhos de mesa,Macedônia,,,1970
Vinhos de mesa,Marrocos,,,1970
Vinhos de mesa,México,,,1970
Vinhos de mesa,Moldávia,,,1970
Vinhos de mesa,Montenegro,,,1970
Vinhos de mesa,Noruega,,,1970
Vinhos de mesa,Nova Zelândia,,,1970
Vinhos de mesa,Países Baixos (Holanda),,,1970
Vinhos de mesa,Panamá,,,1970
Vinhos de mesa,Paraguai,,,1970
Vinhos de mesa,Peru,,,1970
