GrapeType,Category,Cultivar,Quantity (kg),Year
subopt_01,TINTAS,Alicante Bouschet,,1970
subopt_01,TINTAS,Ancelota,,1970
subopt_01,TINTAS,Aramon,,1970
subopt_01,TINTAS,Alfrocheiro,,1970
subopt_01,TINTAS,Arinarnoa,,1970
subopt_01,TINTAS,Aspirant Bouschet,,1970
subopt_01,TINTAS,Barbera,4548313.0,1970
subopt_01,TINTAS,Bonarda,1631610.0,1970
subopt_01,TINTAS,Cabernet Franc,238837.0,1970
subopt_01,TINTAS,Cabernet Sauvignon,,1970
subopt_01,TINTAS,Caladoc,,1970
subopt_01,TINTAS,Campanario,,1970
subopt_01,TINTAS,Canaiolo,596766.0,1970
subopt_01,TINTAS,Carignan,,1970
subopt_01,TINTAS,Carmenere,1235.0,1970
subopt_01,TINTAS,Castelão,,1970
subopt_01,TINTAS,Corvina,,1970
subopt_01,TINTAS,Croatina,,1970
subopt_01,TINTAS,Cinsaut,,1970
subopt_01,TINTAS,Dom Felder,,1970
subopt_01,TINTAS,Dolcetto,,1970
subopt_01,TINTAS,Durif,,1970
subopt_01,TINTAS,Egiodola,,1970
subopt_01,TINTAS,Ekigaina,,1970
subopt_01,TINTAS,Festival (Sugraone),,1970
subopt_01,TINTAS,Franconia,,1970
subopt_01,TINTAS,Freisa,1661.0,1970
subopt_01,TINTAS,Gamay St Romain,,1970
subopt_01,TINTAS,Gamay Beaujolais,,1970
subopt_01,TINTAS,Grand Noir,,1970
subopt_01,TINTAS,Grenache,19753.0,1970
subopt_01,TINTAS,Jaen,,1970
subopt_01,TINTAS,Lagrein,,1970
subopt_01,TINTAS,Lambrusco,2259.0,1970
subopt_01,TINTAS,Malbec,4097.0,1970
subopt_01,TINTAS,Marzemina,62546.0,1970
subopt_01,TINTAS,Merlot,185596.0,1970
subopt_01,TINTAS,Marselan,,1970
subopt_01,TINTAS,Mistura de uvas viníferas tinto,,1970
subopt_01,TINTAS,Molinera,,1970
subopt_01,TINTAS,Montepulciano,,1970
subopt_01,TINTAS,Moscato Bailey,,1970
subopt_01,TINTAS,Napa Gamay,,1970
subopt_01,TINTAS,Nebbiolo,,1970
subopt_01,TINTAS,Petit Verdot,,1970
subopt_01,TINTAS,Petite Sirah,,1970
subopt_01,TINTAS,Pinotage,,1970
subopt_01,TINTAS,Pinot Noir,,1970
