Category,Product,Quantity (L.),Year
,VINHO DE MESA,217208604.0,1970
,Tinto,174224052.0,1970
,Branco,748400.0,1970
,Rosado,42236152.0,1970
,VINHO FINO DE MESA (VINIFERA),23899346.0,1970
,Tinto,7591557.0,1970
,Branco,15562889.0,1970
,Rosado,744900.0,1970
,SUCO,1097771.0,1970
,Suco de uva integral,1097771.0,1970
,Suco de uva concentrado,,1970
,Suco de uva adoçado,,1970
,Suco de uva orgânico,,1970
,Suco de uva reconstituído,,1970
,DERIVADOS,14164329.0,1970
,Espumante,,1970
,Espumante moscatel,,1970
,Base espumante,,1970
,Base espumante moscatel,,1970
,Base Champenoise champanha,,1970
,Base Charmat champanha,,1970
,Bebida de uva,,1970
,Polpa de uva,,1970
,Mosto simples,7170736.0,1970
,Mosto concentrado,,1970
,Mosto de uva com bagaço,,1970
,Mosto dessulfitado,,1970
,Mistelas,1072100.0,1970
,Néctar de uva,,1970
,Licorosos,282500.0,1970
,Compostos,,1970
,Jeropiga,,1970
,Filtrado,,1970
,Frisante,,1970
,Vinho leve,,1970
,Vinho licoroso,,1970
,Brandy,,1970
,Destilado,830030.0,1970
,Bagaceira,961290.0,1970
,Licor de bagaceira,,1970
,Vinagre,,1970
,Borra líquida,3847673.0,1970
,Borra seca,,1970
,Vinho Composto,,1970
,Pisco,,1970
,Vinho orgânico,,1970
,Espumante orgânico,,1970
,Destilado alcoólico simples de bagaceira,,1970
,Vinho acidificado,,1970
,Mosto parcialmente fermentado,,1970
,Outros derivados,,1970
Total,Total,256370050.0,1970
,VINHO DE MESA,154264651.0,1971
,Tinto,121133369.0,1971
,Branco,1160500.0,1971
,Rosado,31970782.0,1971
,VINHO FINO DE MESA (VINIFERA),23586062.0,1971
,Tinto,7265666.0,1971
,Branco,15655709.0,1971
,Rosado,664687.0,1971
,SUCO,2296654.0,1971
,Suco de uva integral,2296654.0,1971
,Suco de uva concentrado,,1971
,Suco de uva adoçado,,1971
,Suco de uva orgânico,,1971
,Suco de uva reconstituído,,1971
,DERIVADOS,13280518.0,1971
,Espumante,,1971
,Espumante moscatel,,1971
,Base espumante,,1971
,Base espumante moscatel,,1971
,Base Champenoise champanha,,1971
,Base Charmat champanha,,1971
,Bebida de uva,,1971
,Polpa de uva,,1971
,Mosto simples,7646774.0,1971
,Mosto concentrado,,1971
,Mosto de uva com bagaço,,1971
,Mosto dessulfitado,,1971
,Mistelas,818400.0,1971
,Néctar de uva,,1971
,Licorosos,270000.0,1971
,Compostos,45000.0,1971
,Jeropiga,,1971
,Filtrado,,1971
,Frisante,,1971
,Vinho leve,,1971
,Vinho licoroso,,1971
,Brandy,,1971
,Destilado,,1971
,Bagaceira,913200.0,1971
,Licor de bagaceira,,1971
,Vinagre,21500.0,1971
,Borra líquida,3565644.0,1971
,Borra seca,,1971
,Vinho Composto,,1971
,Pisco,,1971
,Vinho orgânico,,1971
,Espumante orgânico,,1971
,Destilado alcoólico simples de bagaceira,,1971
,Vinho acidificado,,1971
,Mosto parcialmente fermentado,,1971
,Outros derivados,,1971
Total,Total,193427885.0,1971
,VINHO DE MESA,146953297.0,1972
,Tinto,118180926.0,1972
,Branco,1812367.0,1972
,Rosado,26960004.0,1972
,VINHO FINO DE MESA (VINIFERA),21078771.0,1972
,Tinto,6782837.0,1972
,Branco,13289304.0,1972
,Rosado,1006630.0,1972
,SUCO,3509440.0,1972
,Suco de uva integral,3509440.0,1972
,Suco de uva concentrado,,1972
,Suco de uva adoçado,,1972
,Suco de uva orgânico,,1972
,Suco de uva reconstituído,,1972
,DERIVADOS,12314509.0,1972
,Espumante,,1972
,Espumante moscatel,,1972
,Base espumante,,1972
,Base espumante moscatel,,1972
,Base Champenoise champanha,,1972
,Base Charmat champanha,,1972
,Bebida de uva,,1972
,Polpa de uva,,1972
,Mosto simples,6051822.0,1972
,Mosto concentrado,,1972
,Mosto de uva com bagaço,,1972
,Mosto dessulfitado,,1972
,Mistelas,871200.0,1972
,Néctar de uva,,1972
,Licorosos,254600.0,1972
,Compostos,1358300.0,1972
,Jeropiga,,1972
,Filtrado,,1972
,Frisante,,1972
,Vinho leve,,1972
,Vinho licoroso,,1972
,Brandy,,1972
,Destilado,,1972
,Bagaceira,755350.0,1972
,Licor de bagaceira,,1972
,Vinagre,8200.0,1972
,Borra líquida,3015037.0,1972
,Borra seca,,1972
,Vinho Composto,,1972
,Pisco,,1972
,Vinho orgânico,,1972
,Espumante orgânico,,1972
,Destilado alcoólico simples de bagaceira,,1972
,Vinho acidificado,,1972
,Mosto parcialmente fermentado,,1972
,Outros derivados,,1972
Total,Total,183856017.0,1972
,VINHO DE MESA,116710345.0,1973
,Tinto,88589019.0,1973
,Branco,243900.0,1973
,Rosado,27877426.0,1973
,VINHO FINO DE MESA (VINIFERA),12368410.0,1973
,Tinto,3419625.0,1973
,Branco,7930070.0,1973
,Rosado,1018715.0,1973
,SUCO,,1973
,Suco de uva integral,,1973
,Suco de uva concentrado,,1973
,Suco de uva adoçado,,1973
,Suco de uva orgânico,,1973
,Suco de uva reconstituído,,1973
,DERIVADOS,28317919.0,1973
,Espumante,,1973
,Espumante moscatel,,1973
,Base espumante,,1973
,Base espumante moscatel,,1973
,Base Champenoise champanha,,1973
,Base Charmat champanha,,1973
,Bebida de uva,,1973
,Polpa de uva,,1973
,Mosto simples,21779327.0,1973
,Mosto concentrado,,1973
,Mosto de uva com bagaço,,1973
,Mosto dessulfitado,,1973
,Mistelas,512900.0,1973
,Néctar de uva,,1973
,Licorosos,176500.0,1973
,Compostos,1628000.0,1973
,Jeropiga,,1973
,Filtrado,,1973
,Frisante,,1973
,Vinho leve,,1973
,Vinho licoroso,,1973
,Brandy,,1973
,Destilado,,1973
,Bagaceira,661270.0,1973
,Licor de bagaceira,,1973
,Vinagre,,1973
,Borra líquida,3559922.0,1973
,Borra seca,,1973
,Vinho Composto,,1973
,Pisco,,1973
,Vinho orgânico,,1973
,Espumante orgânico,,1973
,Destilado alcoólico simples de bagaceira,,1973
,Vinho acidificado,,1973
,Mosto parcialmente fermentado,,1973
,Outros derivados,,1973
Total,Total,157396674.0,1973
,VINHO DE MESA,193875345.0,1974
,Tinto,146544484.0,1974
,Branco,4138768.0,1974
,Rosado,43192093.0,1974
,VINHO FINO DE MESA (VINIFERA),31644124.0,1974
,Tinto,10047658.0,1974
,Branco,18927471.0,1974
,Rosado,2668995.0,1974
,SUCO,,1974
,Suco de uva integral,,1974
,Suco de uva concentrado,,1974
,Suco de uva adoçado,,1974
,Suco de uva orgânico,,1974
,Suco de uva reconstituído,,1974
,DERIVADOS,47904934.0,1974
,Espumante,,1974
,Espumante moscatel,,1974
,Base espumante,,1974
,Base espumante moscatel,,1974
,Base Champenoise champanha,,1974
